age,education_num,race,sex,hours_per_week
50,13,White,Male,13
38,9,White,Male,40
53,7,Black,Male,40
28,13,Black,Female,40
37,14,White,Female,40
49,5,Black,Female,16
52,9,White,Male,45
31,14,White,Female,50
42,13,White,Male,40
37,10,Black,Male,80
30,13,Asian-Pac-Islander,Male,40
23,13,White,Female,30
32,12,Black,Male,50
40,11,Asian-Pac-Islander,Male,40
34,4,Amer-Indian-Eskimo,Male,45
25,9,White,Male,35
32,9,White,Male,40
38,7,White,Male,50
43,14,White,Female,45
40,16,White,Male,60
54,9,Black,Female,20
35,5,Black,Male,40
43,7,White,Male,40
59,9,White,Female,40
56,13,White,Male,40
19,9,White,Male,40
54,10,Asian-Pac-Islander,Male,60
39,9,White,Male,80
49,9,White,Male,40
23,12,White,Male,52
20,10,Black,Male,44
45,13,White,Male,40
30,10,White,Male,40
22,10,Black,Male,15
48,7,White,Male,40
21,10,White,Male,40
19,9,White,Female,25
31,10,White,Male,38
48,12,White,Male,40
31,5,White,Male,43
53,13,White,Male,40
24,13,White,Male,50
49,9,White,Female,40
25,9,White,Male,35
57,13,Black,Male,40
53,9,White,Male,38
44,14,White,Female,40
41,11,White,Male,40
29,11,White,Male,43
25,10,Other,Female,40
18,9,White,Female,30
47,15,White,Female,60
50,13,White,Male,55
47,9,White,Male,60
43,10,White,Male,40
46,3,White,Male,40
35,11,White,Male,40
41,9,White,Male,48
30,9,White,Male,40
30,13,White,Male,40
32,4,White,Male,40
48,9,White,Male,40
42,16,White,Male,45
29,10,White,Male,58
36,9,White,Male,40
28,10,White,Female,40
53,9,White,Female,40
49,10,White,Male,50
25,10,White,Male,40
19,10,White,Male,32
31,13,Black,Female,40
29,13,White,Male,70
23,10,White,Male,40
79,10,White,Male,20
27,9,White,Male,40
40,12,White,Male,40
67,6,White,Male,2
18,7,White,Female,22
31,4,White,Male,40
18,9,White,Male,30
52,13,White,Male,40
46,9,White,Female,40
59,9,White,Male,48
44,9,White,Female,40
53,9,White,Female,35
49,9,White,Male,40
33,14,White,Male,50
30,5,White,Male,40
43,16,White,Female,50
57,11,White,Male,40
37,10,White,Female,40
28,10,Black,Female,25
30,9,Asian-Pac-Islander,Female,35
34,13,White,Male,40
29,10,White,Male,50
48,16,White,Male,60
37,10,White,Male,48
48,12,White,Female,40
32,9,Black,Male,40
76,14,White,Male,40
44,13,White,Male,60
47,14,White,Female,50
20,10,White,Female,40
29,9,White,Male,40
32,9,White,Male,40
17,6,White,Female,32
30,7,White,Male,40
31,9,White,Female,40
42,9,White,Male,40
24,13,White,Male,40
38,15,White,Male,40
56,9,White,Male,50
28,10,White,Female,25
36,9,White,Female,40
53,5,White,Male,50
56,10,White,Male,50
49,11,Black,Male,40
55,10,White,Male,56
22,9,White,Male,41
21,10,White,Female,40
40,13,White,Male,60
30,13,Black,Male,40
29,13,White,Male,50
19,10,Black,Male,35
47,13,White,Female,40
20,10,White,Female,28
31,12,White,Male,40
35,9,White,Male,40
39,10,White,Male,40
28,12,White,Female,60
24,9,White,Female,40
38,9,White,Male,35
37,13,White,Male,50
46,12,Black,Female,36
38,14,White,Male,40
43,9,White,Male,60
27,11,White,Female,35
20,10,White,Male,20
49,10,Asian-Pac-Islander,Male,40
61,9,White,Male,40
27,10,White,Female,40
